id	sim_tfidf
2764	5
1182	0
2334	2
2018	49
1265	296
3350	33
676	0
2861	10
2149	3
5284	5
61	1
5090	105
3287	20
2315	2
4796	2
456	3
894	42
347	167
466	0
4328	3
5059	0
3185	108
1979	3
1796	0
4318	89
3281	30
4731	27
6018	0
323	16
3017	0
4935	0
1423	5
1672	1
5153	9
2464	52
555	44
1798	2
1662	49
628	122
2478	1
1953	4
255	42
1369	22
5092	2
1826	3
2254	3
2174	26
493	15
1377	3
1080	1
371	3
5107	3
819	5
5214	6
2252	3
1511	62
1342	18
1050	5
1140	69
4034	15
4037	0
4270	22
5309	57
4299	9
3151	7
4128	0
3857	60
2217	7
923	2
6037	1
2717	0
1868	94
738	2
1895	183
202	0
2978	1
5292	2
761	33
4227	22
271	0
5320	40
5311	2
1573	3
322	0
2239	1
1291	41
1675	1
1836	1
1559	15
3938	34
1425	14
988	0
3672	42
994	30
1099	137
4686	3
2463	52
4308	52
1186	3
3370	13
1541	0
27	18
477	6
550	2
1134	2
2671	7
1283	2
1197	6
3300	0
4855	16
2154	12
3595	4
4287	55
4677	5
4640	1
1279	3
391	59
3819	74
3701	2
1824	1
1632	4
655	60
1992	0
2843	14
5045	58
4100	2
3308	5
2628	35
3800	11
2600	0
3091	4
2696	1
5312	1
743	3
799	49
4029	148
3943	2
1246	54
364	1
3065	1
4320	10
1562	6
3956	5
2439	7
164	1
3114	3
5234	0
2651	53
2139	48
4240	3
3123	65
6046	0
304	54
744	7
410	34
1460	0
2988	2
4332	39
3903	3
1712	3
4116	20
3162	2
1013	15
1030	2
1856	2
952	48
2618	2
4862	50
1746	7
3035	2
4774	11
2732	30
4676	4
247	1
1063	4
1433	29
290	2
2829	3
3586	4
3098	36
2279	2
3229	3
3057	11
5043	17
1920	39
1059	6
3859	4
3260	0
1864	3
2460	0
2370	2
3632	1
3555	22
2012	3
2882	32
1690	3
5244	17
5247	5
3379	0
3104	37
2386	4
2775	43
114	28
2896	5
317	1
2292	5
3410	3
798	5
185	51
1407	2
2456	1
3407	3
2242	0
3248	13
3624	15
2287	4
3206	50
2150	67
5232	1
2207	3
879	47
3909	5
4923	8
4079	2
195	0
3403	8
5224	83
3210	23
2560	27
4689	3
3824	0
4304	4
4176	0
3026	170
2123	4
2564	0
1288	4
3629	1
2228	36
6011	0
2853	90
5475	6
2726	3
1154	1
3960	46
1853	3
553	3
1261	2
3677	0
3418	4
4109	11
1818	31
3597	37
3008	0
2581	1
3189	2
2133	113
4632	60
2623	46
4246	18
1707	0
1375	5
2381	3
3551	3
3530	2
1571	38
3516	0
2266	4
3476	2
4297	52
3592	5
881	0
4832	1
2670	4
780	4
1250	268
1807	48
5929	24
2006	1
5993	4
2132	5
3087	2
150	1
2924	1
2480	36
1203	3
1277	14
2937	14
2070	52
179	113
99	1
712	1
494	1
293	3
3253	2
3457	13
3172	7
3746	1
1883	35
1501	1
933	80
84	2
165	48
2592	2
980	6
4930	0
4196	4
4997	2
3016	2
4061	15
4747	4
2707	47
5954	71
905	0
5008	12
3135	140
2735	73
1830	70
3607	3
1049	0
4845	72
207	0
2102	61
2231	84
4857	12
3961	1
1376	4
11	41
5215	1
1131	0
1406	0
909	5
2783	3
5236	53
1218	1
2986	2
3383	2
849	15
844	2
5973	2
1596	14
1452	29
2211	2
580	0
3075	4
4148	19
3975	4
759	2
103	0
3972	6
2724	17
2779	20
3187	30
808	39
4216	11
2532	21
947	70
1015	13
3962	2
2255	39
1724	22
260	2
4060	7
3146	3
1721	39
4790	0
526	2
1024	3
561	3
1889	2
2438	88
2738	0
3219	8
389	75
2304	4
510	26
189	64
3271	16
3988	7
2523	20
1374	20
3106	0
2055	1
2429	4
345	4
2261	3
772	2
2666	1
2208	23
4724	2
834	179
1343	3
1612	1
3825	103
5228	8
2216	0
4708	2
435	2
4038	1
5970	137
2397	1
235	5
2404	0
1174	3
4258	38
2548	1
5950	7
4592	4
5083	51
16	14
4074	4
5005	50
5949	6
1517	0
46	7
554	0
4958	245
1378	19
825	10
5078	3
3310	3
2565	83
1379	1
576	7
1031	0
1198	13
3879	30
2271	29
2935	129
2630	21
1814	18
4646	5
640	1
3118	1
2668	6
3954	2
4039	70
5338	34
283	4
2867	0
4006	23
3166	6
2137	1
285	75
700	47
1180	2
4665	55
3840	0
3513	0
1038	70
4666	34
5753	215
1581	14
3298	1
4626	1
4309	7
3324	15
1574	2
1764	1
1097	2
1737	0
1905	15
1934	4
3532	1
348	12
2106	22
3293	1
5047	68
3208	6
3583	31
3122	0
3353	2
3664	3
446	41
1705	2
4600	1
2484	4
3363	1
451	22
3826	39
4281	3
3611	1
5216	10
2492	3
2396	9
2175	5
5250	26
1892	0
2883	37
2515	84
4266	3
1271	3
1580	3
4848	25
4846	39
3042	62
4344	67
2646	55
2710	38
1684	2
1244	136
3462	247
2781	4
1042	2
4659	8
2989	10
5109	1
5091	1
377	0
2281	5
3594	4
823	3
814	0
325	2
2145	4
2692	3
121	94
783	3
3427	0
4050	0
932	5
1240	13
1214	47
2977	1
564	20
1691	19
1729	53
4150	1
4317	18
1358	3
1742	66
4912	102
677	2
3078	4
1480	38
826	11
4024	60
3898	3
3028	121
737	0
2980	1
2795	78
863	82
3054	31
2819	4
884	1
537	115
1482	74
3601	19
1403	1
1594	82
237	0
2297	2
742	4
4136	2
4593	1
4198	24
3539	2
3770	4
972	29
1497	135
1447	4
49	184
3774	0
3932	1
160	33
2747	5
4858	2
2582	53
3426	0
2391	0
3263	60
3023	3
5998	14
2263	2
4048	4
609	27
3004	21
3446	0
2306	1
1170	2
5110	2
3416	71
3493	40
1875	4
217	1
4789	6
2178	28
1391	19
886	1
475	4
4828	3
2090	32
2568	9
3025	1
392	8
2725	23
335	3
192	1
4087	12
3346	1
4073	1
1068	1
6016	1
1572	5
3765	1
2051	194
5481	32
2778	13
5474	2
1053	5
875	3
3821	50
1427	20
5254	0
3244	4
1285	12
5942	1
2956	1
523	0
2023	0
1290	0
2974	8
498	3
2916	1
3093	2
5111	1
32	52
4057	13
3317	3
809	3
557	1
3089	155
4117	0
3794	47
1546	1
2587	8
154	38
2792	2
2476	3
533	199
882	114
2744	69
357	79
4322	0
1874	39
3183	22
517	24
319	53
5290	87
1010	85
2703	15
1314	0
577	0
4115	6
2251	28
3563	17
2689	20
3602	19
4164	5
785	3
1176	4
726	7
3862	0
4313	26
648	57
1191	2
850	4
2136	26
3200	0
1428	3
4732	3
3787	7
1092	4
2406	1
2902	83
3175	24
1663	30
1368	0
2945	3
291	16
1499	30
499	35
3575	3
4223	1
1740	1
182	4
1241	3
5283	0
5103	32
170	16
3631	45
3302	0
1515	0
5959	2
4955	78
3900	72
