nb_fakewords	ponctuation	partage
14	False	1
8	False	1
1254	False	2
243	False	2
18	False	1
8	False	1
5	False	1
313	False	2
48	False	4
10	False	1
7	False	1
44	False	1
86	False	1
13	False	1
10	False	1
308	False	1
322	False	3
45	False	1
281	False	3
488	False	3
301	False	1
40	False	2
367	False	2
266	False	3
317	False	2
34	False	1
15	False	0
618	False	5
54	False	1
15	False	1
356	False	2
2	False	0
854	False	9
198	False	1
69	False	1
406	False	2
27	False	0
38	True	1
13	False	1
449	False	3
98	False	1
38	False	1
225	False	1
113	False	4
42	False	2
288	True	2
7	False	0
3	False	1
331	False	2
6	False	1
256	False	2
36	False	2
20	False	1
524	False	3
55	False	1
6	False	1
34	False	1
106	False	1
39	False	1
1338	False	4
24	False	0
5	False	1
306	False	1
8	True	1
656	False	3
0	False	1
52	False	1
30	False	1
7	False	0
240	False	3
179	False	1
434	False	2
14	False	1
172	False	1
13	False	0
456	False	2
33	False	1
106	False	1
18	False	1
18	False	1
32	False	1
1	True	1
20	False	1
31	False	1
471	False	2
474	False	3
320	False	3
32	False	1
263	False	2
207	False	2
871	False	2
68	False	1
64	False	1
18	False	0
13	False	1
5	False	1
312	False	2
16	False	0
474	False	3
2	False	1
0	False	1
56	False	1
8	False	0
1	False	0
132	False	1
25	False	1
35	False	0
438	False	2
81	False	1
34	False	1
412	False	3
270	False	3
341	False	3
48	False	1
0	False	1
16	False	1
18	False	1
997	False	5
16	False	0
189	False	3
74	False	2
25	False	0
16	False	1
103	False	1
6	False	0
0	False	1
1	False	0
109	False	1
47	False	1
9	False	1
368	False	3
89	False	1
49	False	2
273	False	3
49	False	1
15	False	1
39	False	1
1095	False	8
461	False	4
22	False	1
17	False	1
756	False	3
53	False	1
134	False	1
53	False	1
220	False	4
15	False	1
28	False	1
40	False	1
18	False	1
5	False	1
8	False	1
327	False	3
5	False	0
14	False	1
8	False	1
