id	sim_tfidf
5678	168
4368	31
5273	2
5180	6
5171	17
5923	4
4392	167
5842	4
5517	37
5574	10
5426	3
5516	2
5863	5
5172	30
5780	8
5549	114
4998	2
5205	2
5742	1
6040	4
5707	2
5533	12
4510	5
5212	5
5587	37
5544	15
5654	5
5882	3
5702	6
5894	6
5769	24
5738	31
4456	80
4526	56
5494	3
4359	6
5581	68
6033	3
3414	2
4869	1
5392	7
5619	5
5485	11
5131	21
5826	40
5585	5
4402	14
4868	21
4517	56
4532	5
5646	46
4564	38
4360	20
5386	3
4525	3
5727	3
5632	5
5570	8
4556	32
5609	3
5534	4
5200	53
5716	1
5019	18
4488	4
5746	3
5413	5
5670	4
5154	3
4975	12
4907	5
5596	44
5449	6
5576	2
5684	4
5724	6
3458	6
5913	106
5735	13
5411	5
5547	67
5515	3
4498	2
5447	2
4540	6
5440	4
4431	30
4914	55
5415	163
5771	3
5558	54
4458	22
5610	56
5190	1
4373	3
5165	34
5700	7
4589	4
5836	5
5563	44
4976	65
4445	36
4551	35
5174	2
5418	5
4434	55
5166	65
5445	8
5167	102
5437	20
5370	7
4893	15
4503	43
5371	63
5561	4
4973	5
4981	11
4906	39
5269	3
5458	27
5640	7
4390	3
5197	3
5407	3
4491	3
4500	3
5541	56
5389	12
3538	1
5182	8
5508	3
5527	9
5414	47
5186	5
5461	86
5739	4
4971	16
4471	43
5387	27
5398	138
4452	23
5685	2
4470	1
5377	6
4963	9
4440	4
5794	49
4464	16
5866	70
5278	63
5900	8
4898	8
5211	6
5270	85
4362	5
4553	23
4364	120
5772	42
5159	11
3450	6
5655	49
5906	2
5874	5
4435	6
5589	2
5895	0
5015	8
5525	20
4369	12
5905	58
5788	3
5848	2
5761	2
5432	55
5851	44
5721	1
5528	3
4505	4
4395	2
5620	6
3454	7
5367	12
5509	131
5465	25
4375	7
4507	1
5191	1
5495	2
5136	197
5452	2
5686	27
5616	3
5712	47
5195	9
5869	3
3517	2
5859	9
5639	4
4999	48
5663	4
5719	6
5532	2
5631	5
4964	8
5255	50
5852	1
5551	68
5657	3
4394	23
5776	1
4386	2
5374	53
5463	5
5134	1
5577	162
5706	90
4586	7
5853	7
5898	42
4573	4
5751	5
4970	4
5870	16
5274	2
5782	40
5615	62
5397	2
5713	2
5428	165
5656	3
4401	1
4490	7
5383	7
5586	76
4597	0
4463	8
5372	1
5520	6
5137	50
4531	11
5155	2
4494	3
4451	7
5390	47
5401	3
4863	2
4413	2
5260	5
4382	5
5578	1
5014	1
5542	2
5796	0
4515	27
5403	25
5652	3
5595	7
4588	27
5915	19
5840	23
5680	12
5280	56
5369	3
5649	2
4566	19
5207	2
4371	59
4563	5
5854	124
4884	2
5590	46
4529	4
4549	6
5198	3
5594	14
4910	9
4565	56
5896	1
5559	6
4545	3
5823	2
5723	70
5568	26
5687	2
4986	4
5152	33
5420	59
4443	9
5553	15
5206	54
4427	30
5637	48
5256	14
4396	12
4374	1
4996	2
4447	66
6027	24
5140	2
5007	5
6023	37
5722	20
5267	25
4533	4
5899	44
5759	3
5701	7
4436	3
5193	6
5671	6
4403	3
5603	7
4904	54
4539	0
4372	4
4459	9
5781	18
5638	46
5443	179
5635	6
4879	17
5858	4
4366	2
5450	7
3519	1
4410	5
5580	11
6030	5
5717	4
4477	6
5662	142
4896	2
5132	73
5855	67
5163	84
5689	9
5604	66
5773	48
3478	2
5817	0
5262	7
4514	49
4535	4
5787	75
5488	50
5169	18
6039	1
4569	14
5583	56
5597	1
5170	19
5651	4
4484	71
5130	34
4508	1
4874	91
5493	2
5457	15
6042	32
5714	14
4538	127
5768	8
5601	2
5539	19
5002	3
4888	9
5201	71
5535	2
4558	47
5405	4
4415	6
5766	3
5550	21
4448	56
4892	4
4387	23
5920	69
5406	46
5442	37
4890	8
4908	31
4453	2
4913	6
4370	19
5548	42
5705	4
5681	54
5425	16
5161	14
4442	2
5026	26
4877	11
5765	5
5150	54
5375	24
5653	7
4449	4
5674	4
5679	90
4398	0
5917	55
3518	4
4414	2
5156	19
5661	36
5575	56
5175	1
4479	2
4512	138
4916	9
5907	5
4889	10
4381	1
5734	87
5552	3
5599	45
5424	24
4917	28
4444	1
5690	2
5529	1
5591	6
4379	0
5265	53
4516	5
5499	5
5850	0
5789	7
5757	20
5185	133
5884	7
5750	5
4580	47
4522	8
5608	3
5404	6
4878	5
4968	1
5792	4
4384	7
5562	7
5554	75
4441	2
4400	21
4574	3
5434	2
5613	53
4504	6
5617	57
5441	4
4367	33
4509	6
5677	73
5745	68
5145	3
4438	6
5505	42
4521	4
5760	6
5192	9
5650	8
5380	4
4473	0
4605	132
5148	5
5162	17
5918	84
4422	48
5715	4
4581	4
